tag,Vrai Nom,Adresse,Arrondissement,Téléphone,Site web,Lien Google,Lien Menu,Horaires,Lien de réservation,Lien de votre compte instagram,Station(s) de métro à proximité,types,petit_dejeuner,brunch_general,brunch_samedi,brunch_dimanche,brunch_toute_la_semaine,dejeuner,gouter,drinks,diner,apero,dans_la_rue,dans_une_galerie,dans_un_musee,dans_un_monument,hotel_name,dans_un_hotel,other_lieu,ambiance_classique,ambiance_intimiste,ambiance_festif,ambiance_date,price_range,cuisines,restrictions,has_terrace,terrace_locs,more_info
Miz,Miznon,"3 Rue de la Grange Batelière, 75009 Paris, France",75009,09 71 43 71 96,https://www.miznonparis.com/,https://maps.google.com/?cid=3295385912584697411,https://www.miznonparis.com/menus-1,"Monday: 11:00 AM – 10:30 PM
Tuesday: 11:00 AM – 10:30 PM
Wednesday: 11:00 AM – 10:30 PM
Thursday: 11:00 AM – 10:30 PM
Friday: 11:00 AM – 3:00 PM
Saturday: Closed
Sunday: 11:00 AM – 10:30 PM",Sans réservation,https://www.instagram.com/miznonparis,non_renseigné,"Restaurant;""Fast"" (à emporter, sandwicherie...)",False,False,False,False,False,True,False,False,True,False,True,False,False,False,,False,False,True,False,False,False,€,,Viande casher,True,terrasse_classique,
Moj,Mojju,"4 Rue de l'Exposition, 75007 Paris, France",75007,01 45 51 88 38,https://www.mojju-restaurant.com/,https://maps.google.com/?cid=805011685251304645,https://mojju-restaurant.com/menu/,"Monday: 7:15 – 10:00 PM
Tuesday: 7:15 – 10:00 PM
Wednesday: 7:15 – 10:00 PM
Thursday: 7:15 – 10:00 PM
Friday: 12:00 – 2:00 PM, 7:15 – 10:30 PM
Saturday: 12:00 – 2:00 PM, 7:15 – 10:30 PM
Sunday: 12:00 – 2:00 PM, 7:15 – 10:00 PM",https://mojju-restaurant.com/#reservation,https://www.instagram.com/mojju.restaurant/,non_renseigné,Restaurant,False,False,False,False,False,True,False,False,True,False,True,False,False,False,,False,False,True,False,False,False,€€€,Coréen,,False,,
Mons,Mon Square,"31 Rue Saint-Dominique, 75007 Paris, France",75007,01 86 64 06 06,http://www.monsquarerestaurant.com/,https://maps.google.com/?cid=5116115171942305892,http://www.monsquarerestaurant.com/mon-menu,"Monday: 10:00 AM – 2:00 AM
Tuesday: 10:00 AM – 2:00 AM
Wednesday: 10:00 AM – 2:00 AM
Thursday: 10:00 AM – 2:00 AM
Friday: 10:00 AM – 2:00 AM
Saturday: 10:00 AM – 2:00 AM
Sunday: 10:00 AM – 2:00 AM",https://www.monsquarerestaurant.com/reservations,https://www.instagram.com/monsquarerestaurant/,non_renseigné,Brasserie,True,True,False,False,True,True,False,False,True,False,True,False,False,False,,False,False,True,False,False,False,€€,Français,,True,terrasse_classique,
Mond,Mondaine de Pariso,"23 Rue de Ponthieu, 75008 Paris, France",75008,01 53 75 31 00,https://mondaine-depariso.com/paris/,https://maps.google.com/?cid=2773064075981747660,https://mondaine-depariso.com/paris/uploads/sites/3/2024/10/CARTE_FOOD_MONDAINE.pdf,"Monday: Closed
Tuesday: Closed
Wednesday: 8:30 PM – 12:00 AM
Thursday: 12:30 – 2:00 AM, 8:00 PM – 2:00 AM
Friday: 8:00 PM – 2:00 AM
Saturday: 8:00 PM – 2:00 AM
Sunday: Closed",https://www.sevenrooms.com/reservations/mondaine,https://www.instagram.com/mondaine_depariso/,non_renseigné,Restaurant haut de gamme,False,False,False,False,False,True,False,False,True,False,True,False,False,False,,False,False,True,False,False,False,€€,Français,,False,,
Monsb,Monsieur Bleu,"Palais De Tokyo, 20 Av. de New York, 75116 Paris, France",75116,01 47 20 90 47,https://monsieurbleu-restaurant.com/?utm_source=Yext&utm_medium=GMB&y_source=1_MjU3NjI3ODMtNzE1LWxvY2F0aW9uLndlYnNpdGU=,https://maps.google.com/?cid=2869271243200194959,https://monsieurbleu-restaurant.com/paris/menus/,"Monday: 12:00 – 2:30 PM, 7:00 PM – 2:00 AM
Tuesday: 12:00 – 2:30 PM, 7:00 PM – 2:00 AM
Wednesday: 12:00 – 2:30 PM, 7:00 PM – 2:00 AM
Thursday: 12:00 – 2:30 PM, 7:00 PM – 2:00 AM
Friday: 12:00 – 2:30 PM, 7:00 PM – 2:00 AM
Saturday: 12:00 – 4:00 PM, 7:00 PM – 2:00 AM
Sunday: 12:00 – 4:00 PM, 7:00 PM – 2:00 AM","https://www.sevenrooms.com/reservations/monsieurbleu?venues=monsieurbleu,cocopalaisgarnier,girafeparis,munparis,perrucheparis",https://www.instagram.com/monsieur_bleu/,non_renseigné,Restaurant haut de gamme,False,False,True,True,False,True,False,False,True,False,False,False,True,False,,False,False,False,True,False,False,€€€€,Français,,True,cour,
Mont,Montecito,"27 - 29 Bd des Capucines, 75002 Paris, France",75002,01 80 40 76 40,https://montecitoparis.com/,https://maps.google.com/?cid=16276343807995335663,http://montecitoparis-prod.yourspin.net/wp-content/uploads/2023/03/Menu_Montecito_Breakfast_PRINTEMPS_2023_FR_EN-2.pdf,"Monday: 7:00 – 10:30 AM, 12:00 – 2:30 PM
Tuesday: 7:00 – 10:30 AM, 12:00 – 2:30 PM, 7:00 – 11:00 PM
Wednesday: 7:00 – 10:30 AM, 12:00 – 2:30 PM, 7:00 – 11:00 PM
Thursday: 7:00 – 10:30 AM, 12:00 – 2:30 PM, 7:00 – 11:00 PM
Friday: 7:00 – 10:30 AM, 12:00 – 2:30 PM, 7:00 – 11:00 PM
Saturday: 7:00 – 11:00 AM, 12:00 – 2:30 PM, 7:00 – 11:00 PM
Sunday: 7:00 – 11:00 AM",https://www.opentable.fr/restref/client/?restref=330084&lang=en-GB,https://www.instagram.com/montecitorestaurantparis/,non_renseigné,Restaurant,True,True,False,False,True,True,False,False,True,False,False,False,False,False,Kimpton Saint-Honoré,True,False,True,False,False,False,€€,Américain,,True,cour,
Montez,Montezuma,"15 Rue Notre Dame des Victoires, 75002 Paris, France",75002,01 75 57 39 16,http://www.montezumacafe.com/,https://maps.google.com/?cid=8151586915699572395,http://www.montezumacafe.com/,"Monday: Closed
Tuesday: 6:00 PM – 12:00 AM
Wednesday: 6:00 PM – 12:00 AM
Thursday: 6:00 PM – 12:00 AM
Friday: 6:00 PM – 1:00 AM
Saturday: 6:00 PM – 1:00 AM
Sunday: Closed",Réservation par téléphone ,https://www.instagram.com/montezuma.cafe/,non_renseigné,Cave à manger,False,False,False,False,False,False,False,True,True,False,True,False,False,False,,False,False,True,False,False,False,€€,Français,,False,,
Mori,Mori Café,"2 Rue des Taillandiers, 75011 Paris, France",75011,01 48 06 19 72,https://www.moricafeparis.com/,https://maps.google.com/?cid=2512195867560248636,https://www.moricafeparis.com/mori-café-menu-qr,"Monday: 12:00 – 3:00 PM
Tuesday: 12:00 – 3:00 PM
Wednesday: 12:00 – 3:00 PM
Thursday: 12:00 – 3:00 PM
Friday: 12:00 – 9:00 PM
Saturday: 12:00 – 9:00 PM
Sunday: Closed",Réservation par téléphone ,https://www.instagram.com/moricafeparis/,non_renseigné,Restaurant,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,True,False,False,False,€€,Japonais,,False,,
Mos,Mosugo,"35 Rue des Jeuneurs, 75002 Paris, France",75002,09 88 56 77 48,https://mosugo.com/,https://maps.google.com/?cid=13749609189802418847,https://mosugo.com/menus/,"Monday: 11:30 AM – 2:30 PM, 6:30 – 10:00 PM
Tuesday: 11:30 AM – 2:30 PM, 6:30 – 10:00 PM
Wednesday: 11:30 AM – 2:30 PM, 6:30 – 10:30 PM
Thursday: 11:30 AM – 2:30 PM, 6:30 – 10:00 PM
Friday: 11:30 AM – 2:30 PM, 6:30 – 10:00 PM
Saturday: 12:00 – 3:00 PM, 7:00 – 11:00 PM
Sunday: Closed",https://mosugo.com/reservation-table-mosugo-2/,https://www.instagram.com/mosugo/,non_renseigné,Restaurant,False,False,False,False,False,True,False,False,True,False,True,False,False,False,,False,False,True,False,False,False,€€,Africain,,False,,
Mun,Mun,"52 Av. des Champs-Élysées, 75008 Paris, France",75008,01 40 70 57 05,https://restaurant-mun.com/paris-fr/,https://maps.google.com/?cid=1760281492476483986,https://restaurant-mun.com/paris-fr/menus/,"Monday: 12:00 – 2:30 PM, 7:00 – 11:00 PM
Tuesday: 12:00 – 2:30 PM, 7:00 – 11:00 PM
Wednesday: 12:00 – 2:30 PM, 7:00 – 11:00 PM
Thursday: 12:00 – 2:30 PM, 7:00 – 11:00 PM
Friday: 12:00 – 2:30 PM, 7:00 – 11:30 PM
Saturday: 12:00 – 2:30 PM, 7:00 – 11:30 PM
Sunday: 12:00 – 2:30 PM, 7:00 – 11:00 PM",https://www.sevenrooms.com/reservations/munparis,https://www.instagram.com/mun_restaurant_paris/,non_renseigné,Restaurant haut de gamme,False,False,False,False,False,True,False,False,True,False,True,False,False,False,,False,False,False,True,False,False,€€€€,,,True,rooftop,
